       x_coord        y_coord           Rho           Rho_Ref      %     Depth    Temp    Temp_Ref    Rho_cT     Rho_ref_cT  %_cT
      48.987697     2935.602583      303.457730      342.140880 -11.3 7.997 8.851 8.876      234.050133         264.098 -11.4
      25.944937     2944.730903      846.721450      874.953830  -3.2 8.769 9.418 9.486      665.047090         688.711  -3.4
      13.830550     2944.991447     1866.511100     1844.676490   1.2 14.309 13.483 13.862     1655.757453         1653.83   0.1
       6.614467     2938.790543     1506.274610     1489.821740   1.1 24.509 20.971 21.920     1618.150655         1635.84  -1.1
      17.753797     2947.386393     1830.798250     1836.080150  -0.3 9.914 10.258 10.390     1476.428239         1486.75  -0.7
      22.342667     2932.950807     1032.852850      980.607170   5.3 22.049 19.165 19.977     1062.937300         1029.07   3.3
       1.504270     2958.247853     3665.930440     3829.536150  -4.3 8.352 9.111 9.156     2851.312449         2982.84  -4.4
      15.477277     2950.347463     2256.910770     2241.430820   0.7 8.353 9.112 9.157     1755.411645         1745.88   0.5
      40.690033     2936.005093      365.949380      340.632040   7.4 10.695 10.831 11.007      300.362638         281.081   6.9
      13.814033     2949.818503     2251.232020     2216.436070   1.6 9.481 9.940 10.048     1797.632185         1775.83   1.2
      10.290023     2935.570050     1367.662090     1345.683750   1.6 25.130 21.426 22.411     1484.815186         1494.07  -0.6
      31.510333     2939.167923      561.243690      533.503780   5.2 11.932 11.739 11.984      473.396999         453.269   4.4
      39.659417     2937.159390      397.158250      356.531560  11.4 9.541 9.984 10.095      317.565803         286.073  11.0
      45.023513     2932.988603      330.902760      345.384470  -4.2 12.111 11.871 12.126      280.198214         294.665  -4.9
      69.332597     2931.309020      579.119720      558.279920   3.7 7.791 8.700 8.713      444.468267         428.659   3.7
      17.250190     2934.617963     1216.431020     1180.380980   3.1 23.482 20.217 21.109     1283.845860         1272.12   0.9
       3.518003     2952.501653     2308.563050     2275.428950   1.5 12.398 12.081 12.353     1966.975536         1954.18   0.7
      61.405603     2931.950097      464.096240      510.085450  -9.0 8.150 8.963 8.996      359.245610         395.271  -9.1
      17.443717     2937.027037     1281.436940     1252.853900   2.3 21.073 18.449 19.206     1295.806610         1290.62   0.4
      34.944600     2937.536130      497.000990      438.583370  13.3 11.164 11.175 11.377      412.203644          365.97  12.6
      25.177957     2945.211180      906.616450      930.845710  -2.6 9.089 9.652 9.738      717.409938         738.583  -2.9
      18.455050     2940.101080     1380.326830     1362.405540   1.3 17.199 15.605 16.145     1297.679836         1299.23  -0.1
      21.571680     2937.303583     1116.932050     1088.718110   2.6 18.496 16.557 17.170     1076.648898         1066.13   1.0
      45.697897     2932.523153      343.414780      362.571840  -5.3 11.977 11.772 12.020      289.945117         308.365  -6.0
      30.241597     2940.422143      596.357750      595.220200   0.2 10.678 10.819 10.994      489.289825          490.96  -0.3
      34.392137     2933.721373      592.418020      528.116700  12.2 15.779 14.563 15.023      541.507205         488.813  10.8
      50.360573     2935.241873      400.525760      429.956970  -6.8 8.158 8.969 9.003      310.097687         333.248  -6.9
      36.352933     2934.588980      503.757290      447.377380  12.6 13.511 12.898 13.232      439.504116         394.047  11.5
       1.145273     2932.295007     1341.361070     1333.147620   0.6 34.305 28.161 29.659     1682.095424         1721.72  -2.3
      44.270157     2937.474740      321.656350      330.190480  -2.6 7.625 8.578 8.582      245.889706         252.447  -2.6
      23.165040     2944.260530     1097.414110     1107.258500  -0.9 10.739 10.864 11.042      901.629070         914.656  -1.4
      16.899367     2948.990060     2015.432420     2031.632860  -0.8 9.110 9.668 9.755     1595.602409         1612.85  -1.1
      12.418057     2939.372200     1476.342170     1453.068760   1.6 20.628 18.122 18.854     1480.837592         1484.09  -0.2
       0.989417     2956.028810     2822.445980     2881.833560  -2.1 10.571 10.740 10.909     2310.189718         2370.97  -2.6
       8.008167     2953.172333     2399.928120     2295.514820   4.5 9.428 9.901 10.006     1913.996966         1836.75   4.2
      17.854243     2945.476813     1721.194150     1713.962360   0.4 11.823 11.659 11.898     1448.351130         1452.51  -0.3
