       x_coord        y_coord           Rho           Rho_Ref      %     Depth    Temp    Temp_Ref    Rho_cT     Rho_ref_cT  %_cT
      32.514393     2937.495963      598.422940      529.621190  13.0 12.704 11.478 12.594      500.847753         458.045   9.3
      21.534390     2946.910843     1409.695550     1391.491800   1.3 8.889 8.975 9.580     1091.643019          1098.6  -0.6
       6.578230     2942.926553     1861.010810     1695.072350   9.8 20.373 16.509 18.653     1791.640463         1722.75   4.0
      32.653117     2939.116037      559.557430      501.658440  11.5 11.084 10.415 11.314      453.452429          417.81   8.5
      37.534220     2938.532837      449.491680      394.039050  14.1 9.567 9.420 10.116      353.076351         316.375  11.6
      11.349130     2940.188240     1664.850830     1522.048760   9.4 20.512 16.600 18.762     1606.568913         1551.05   3.6
       6.745157     2947.201550     2173.844460     1941.653590  12.0 16.098 13.705 15.276     1940.405005         1809.42   7.2
      66.542870     2931.360273      502.633720      527.795150  -4.8 7.840 8.287 8.751      380.579913         405.761  -6.2
      14.066093     2950.845350     2007.692280     2249.629100 -10.8 8.455 8.690 9.237     1540.414364          1756.8 -12.3
       4.025223     2947.357417     2066.867100     1914.754190   7.9 16.743 14.127 15.785     1866.749398         1808.71   3.2
      25.097453     2939.595593      884.312880      915.861060  -3.4 14.704 12.790 14.174      769.133041          828.27  -7.1
      27.732757     2944.119220      609.367370      723.000340 -15.7 8.681 8.839 9.416      469.800754         567.841 -17.3
       8.078850     2952.304853     2538.261640     2226.552890  14.0 10.295 9.898 10.691     2024.112218         1819.72  11.2
      48.536873     2934.764070      301.722830      338.246360 -10.8 8.836 8.940 9.538      233.385384         266.694 -12.5
      18.527813     2945.868070     1628.132870     1665.985240  -2.3 11.432 10.643 11.589     1328.692492         1398.98  -5.0
      57.252390     2933.166343      402.071330      436.627980  -7.9 8.434 8.676 9.221      308.353294         340.795  -9.5
       2.131497     2951.199920     2203.822180     2172.416210   1.4 15.400 13.246 14.724     1941.922598          1994.5  -2.6
       7.690650     2933.050897     1407.055770     1310.707630   7.4 29.549 22.528 25.902     1566.341608         1569.63  -0.2
      21.496347     2940.811473     1184.123340     1203.059500  -1.6 14.989 12.976 14.399     1035.411338         1094.75  -5.4
      34.716930     2939.149767      521.779950      449.128220  16.2 9.550 9.409 10.103      409.714017         360.456  13.7
       0.063373     2951.816453     2193.439500     2271.694900  -3.4 16.284 13.826 15.422     1964.554190         2125.28  -7.6
      37.196627     2940.156897      488.867900      434.479950  12.5 7.943 8.355 8.833      370.985642         334.909  10.8
      12.134300     2949.883807     2126.527030     2186.240650  -2.7 10.116 9.780 10.550     1689.537430         1779.04  -5.0
      33.002637     2942.212633      560.389940      525.510520   6.6 7.987 8.384 8.868      425.668144         405.537   5.0
      20.821053     2948.052407     1521.816150     1478.545480   2.9 7.748 8.226 8.679     1149.976328         1133.99   1.4
      18.144660     2948.090383     1755.252550     1838.227820  -4.5 9.210 9.186 9.834     1368.460981         1462.93  -6.5
       0.390097     2947.567867     1966.643960     1925.775880   2.1 20.532 16.613 18.778     1898.454183         1963.25  -3.3
       5.901087     2944.058700     1930.223580     1757.047350   9.9 19.241 15.766 17.759     1822.434445         1746.44   4.4
      27.457470     2943.542593      630.788520      745.127090 -15.3 9.257 9.217 9.871      492.280866         593.705 -17.1
      27.805610     2940.149237      706.268600      739.297440  -4.5 12.651 11.443 12.552      590.491705         638.607  -7.5
      30.485493     2937.853770      662.060210      608.089970   8.9 13.246 11.834 13.023      559.995736         532.421   5.2
      45.994087     2934.960037      267.869990      298.917170 -10.4 9.540 9.402 10.095      210.292765          239.84 -12.3
      40.459067     2937.682340      375.462200      354.942370   5.8 9.018 9.060 9.682      291.542481         281.132   3.7
      24.543963     2943.951790      876.836860      983.123470 -10.8 10.348 9.932 10.733      699.988138         804.517 -13.0
      30.151493     2933.206107      791.898090      689.622080  14.8 17.894 14.882 16.694      730.177330         667.109   9.5
       1.906860     2957.657750     2982.036020     3529.969920 -15.5 8.942 9.010 9.622     2311.831903         2790.65 -17.2
       1.661623     2954.606640     2368.893180     2588.467340  -8.5 11.993 11.012 12.033     1955.026272         2202.32 -11.2
      21.413933     2938.326873     1153.858560     1128.084460   2.3 17.473 14.606 16.362     1055.964217         1081.88  -2.4
       8.844473     2951.912487     2457.860250     2199.294370  11.8 9.588 9.433 10.132     1931.472994          1766.7   9.3
      19.905473     2944.442840     1447.248330     1476.317370  -2.0 12.157 11.119 12.162     1198.288823         1260.85  -5.0
       9.781457     2946.916907     2207.007510     1998.091410  10.5 14.583 12.711 14.079     1915.158633         1802.21   6.3
      29.430817     2938.237797      693.196340      657.306860   5.5 13.662 12.106 13.351      591.060818         580.914   1.7
      32.734540     2940.594803      545.929020      501.113530   8.9 9.605 9.445 10.146      429.168540         402.721   6.6
      24.785540     2933.253857      974.296520      877.866070  11.0 21.046 16.950 19.184      948.727659         903.861   5.0
      28.938670     2933.073797      853.761880      748.382820  14.1 18.826 15.494 17.431      800.273352         737.731   8.5
      32.455060     2936.546727      626.316890      548.420430  14.2 13.653 12.101 13.344      533.943658         484.585  10.2
      25.184767     2943.635833      796.432140      911.995610 -12.7 10.664 10.140 10.983      639.927062         752.002 -14.9
       4.486973     2953.703800     2466.597790     2403.392330   2.6 10.396 9.964 10.771     1971.052401         1969.04   0.1
      10.401773     2931.585690     1329.207130     1226.321280   8.4 29.114 22.243 25.558     1470.202054         1458.04   0.8
       5.162607     2953.294340     2493.501410     2337.467370   6.7 10.806 10.233 11.094     2009.295232         1933.93   3.9
      35.018210     2934.577300      566.576890      485.690660  16.7 14.123 12.408 13.715      487.376341          433.66  12.4
       5.091440     2954.922173     2642.097030     2574.384890   2.6 9.178 9.165 9.808     2058.500859         2047.18   0.6
      45.838037     2935.895263      263.346030      296.190870 -11.1 8.605 8.789 9.356      202.702081         232.182 -12.7
      36.759833     2935.502940      480.256240      416.874240  15.2 12.597 11.408 12.510      401.106024         359.655  11.5
       5.850010     2954.537160     2666.136230     2503.064030   6.5 8.763 8.892 9.481     2059.085060         1969.95   4.5
      11.251547     2947.561010     2173.560340     2077.151360   4.6 13.139 11.763 12.938     1834.657385         1814.28   1.1
      16.689540     2936.042110     1338.840640     1238.114500   8.1 22.058 17.614 19.984     1325.919795         1299.52   2.0
      39.799310     2936.185333      381.748860      354.340170   7.7 10.515 10.042 10.865      305.796284         291.131   5.0
      48.987697     2935.602583      299.905580      342.140880 -12.3 7.997 8.390 8.876      227.855539         264.098 -13.7
      25.944937     2944.730903      760.272370      874.953830 -13.1 8.769 8.897 9.486      587.244361         688.711 -14.7
      13.830550     2944.991447     1907.950770     1844.676490   3.4 14.309 12.530 13.862     1647.057911         1653.83  -0.4
       6.614467     2938.790543     1609.813210     1489.821740   8.1 24.509 19.222 21.920     1659.000893         1635.84   1.4
      17.753797     2947.386393     1754.555360     1836.080150  -4.4 9.914 9.647 10.390     1388.174521         1486.75  -6.6
      22.342667     2932.950807     1080.217150      980.607170  10.2 22.049 17.608 19.977     1069.638155         1029.07   3.9
       1.504270     2958.247853     3225.263440     3829.536150 -15.8 8.352 8.623 9.156     2469.181553         2982.84 -17.2
      15.477277     2950.347463     1983.995970     2241.430820 -11.5 8.353 8.623 9.157     1518.910709         1745.88 -13.0
      40.690033     2936.005093      355.409190      340.632040   4.3 10.695 10.160 11.007      285.747708         281.081   1.7
      13.814033     2949.818503     2017.206610     2216.436070  -9.0 9.481 9.364 10.048     1581.684610         1775.83 -10.9
      10.290023     2935.570050     1463.940500     1345.683750   8.8 25.130 19.629 22.411     1523.568241         1494.07   2.0
      31.510333     2939.167923      580.582330      533.503780   8.8 11.932 10.971 11.984      478.565872         453.269   5.6
      39.659417     2937.159390      388.159160      356.531560   8.9 9.541 9.403 10.095      304.730537         286.073   6.5
      45.023513     2932.988603      328.317680      345.384470  -4.9 12.111 11.089 12.126      271.593191         294.665  -7.8
      69.332597     2931.309020      541.256690      558.279920  -3.0 7.791 8.255 8.713      409.391419         428.659  -4.5
      17.250190     2934.617963     1284.565000     1180.380980   8.8 23.482 18.548 21.109     1302.170248         1272.12   2.4
       3.518003     2952.501653     2326.719380     2275.428950   2.3 12.398 11.277 12.353     1935.674167         1954.18  -0.9
      61.405603     2931.950097      456.613560      510.085450 -10.5 8.150 8.490 8.996      348.057506         395.271 -11.9
      17.443717     2937.027037     1340.308370     1252.853900   7.0 21.073 16.968 19.206     1305.723642         1290.62   1.2
      34.944600     2937.536130      514.363130      438.583370  17.3 11.164 10.467 11.377      417.502068          365.97  14.1
      25.177957     2945.211180      828.634730      930.845710 -11.0 9.089 9.106 9.738      644.393258         738.583 -12.8
      18.455050     2940.101080     1409.063440     1362.405540   3.4 17.199 14.426 16.145     1283.180758         1299.23  -1.2
      21.571680     2937.303583     1132.938920     1088.718110   4.1 18.496 15.278 17.170     1055.832339         1066.13  -1.0
