    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
   40   52        44   48        0.04854         1347.47117     1347.60774         0.96518E+03    0.47893E+03    1
   41   44        42   43       -1.30915          980.51831      977.75631         0.32252E+04    0.46410E+03    1
   41   47        43   45       -0.05144         1129.45364     1129.41625         0.15539E+04    0.15539E+04    0
   41   50        44   47       -1.78057         1258.77236     1254.86381         0.11102E+04    0.57255E+03    1
   42   45        43   44       -0.30138          817.92609      817.77530         0.24383E+04    0.16346E+04    1
   42   48        44   46        0.13976         1259.17107     1259.47691         0.19437E+04    0.57550E+03    1
   42   51        45   48       -1.26311         1190.18103     1186.29580         0.12548E+04    0.38630E+03    1
   43   46        44   45       -0.34114         1208.98325     1208.87278         0.40257E+04    0.37332E+04    1
   43   49        45   47        0.07764         1144.96611     1145.02070         0.16287E+04    0.16287E+04    0
   43   52        46   49       -1.82281         1246.21967     1233.12554         0.12193E+04    0.17257E+03    1
   44   47        45   46       -0.28435         1046.38630     1046.27824         0.30993E+04    0.27534E+04    1
   44   50        46   48        2.01002         1156.22672     1166.37494         0.15670E+04    0.23001E+03    1
   45   48        46   47       -0.24996         1155.06722     1154.98901         0.36915E+04    0.36915E+04    0
   45   51        47   49        3.20599         1206.47519     1247.80436         0.19119E+04    0.95183E+02    1
   46   49        47   48       -0.47730         1370.04982     1369.85417         0.40521E+04    0.33421E+04    1
   46   52        48   50       -0.06295         1527.54105     1527.49861         0.22657E+04    0.22657E+04    0
   47   50        48   49       -0.02681         1302.05668     1302.04266         0.36115E+04    0.24902E+04    1
   48   51        49   50       -0.61328         1740.39961     1740.21166         0.58371E+04    0.56785E+04    1
   49   52        50   51        0.16062         2584.45015     2584.51469         0.86044E+04    0.64318E+04    1
